lat,lon,county_name,city,address_full,min_drive_minutes
44.515154,-72.021653,Caledonia,LYNDON,"630 YORK ST LYNDON, VT 05851 ",4.733333333333333
44.198652,-72.522104,Washington,BARRE CITY,"51 BAILEY ST BARRE CITY, VT 05641 ",4.2
44.601935,-71.978554,Caledonia,BURKE,"193 TARDIF DR BURKE, VT 05871 ",11.366666666666667
44.425482,-72.021193,Caledonia,SAINT JOHNSBURY,"206 MOUNT PLEASANT ST SAINT JOHNSBURY, VT 05819 ",7.383333333333334
44.998713,-72.108807,Orleans,DERBY,"200 VALENTINE AVE DERBY, VT 05830 ",8.9
44.159364,-72.460069,Washington,BARRE TOWN,"388 WEBSTERVILLE RD BARRE TOWN, VT 05641 ",8.666666666666666
44.881152,-72.061129,Orleans,CHARLESTON,"384 VT ROUTE 5A CHARLESTON, VT 05872 ",15.1
44.209374,-72.506096,Washington,BARRE CITY,"6 PINE ST BARRE CITY, VT 05641 ",3.7666666666666666
44.680258,-72.168804,Orleans,GLOVER,"1274 HEIGHTS RD GLOVER, VT 05839 ",10.05
44.214303,-72.638496,Washington,BERLIN,"533 MUZZY RD BERLIN, VT 05602 ",10.65
44.385728,-72.24843,Washington,CABOT,"78 COW HILL RD CABOT, VT 05647 ",21.366666666666667
44.237754,-72.526066,Washington,BERLIN,"20 KUBOTA DR BERLIN, VT 05641 ",8.516666666666667
44.614973,-72.799834,Lamoille,CAMBRIDGE,"203 WRIGHT RD CAMBRIDGE, VT 05464 ",11.55
44.458612,-72.094922,Caledonia,DANVILLE,"58 STANTON RD DANVILLE, VT 05828 ",15.816666666666666
44.858974,-71.909396,Orleans,MORGAN,"1020 VT ROUTE 114 MORGAN, VT 05846 ",27.383333333333333
44.355408,-72.721702,Washington,WATERBURY,"596 TWIN PEAKS RD WATERBURY, VT 05677 ",13.316666666666666
44.504953,-72.362588,Caledonia,HARDWICK,"127 CHURCH ST HARDWICK, VT 05843 ",19.516666666666666
44.733227,-72.378347,Orleans,ALBANY,"695 MAIN ST ALBANY, VT 05820 ",21.1
44.721631,-71.972445,Caledonia,NEWARK,"997 NEWARK POND RD NEWARK, VT 05871 ",25.483333333333334
44.326544,-72.038451,Caledonia,BARNET,"565 US ROUTE 5 N BARNET, VT 05821 ",16.566666666666666
44.581827,-71.98685,Caledonia,LYNDON,"165 CALENDAR BROOK RD LYNDON, VT 05851 ",8.266666666666667
44.116758,-72.728067,Washington,NORTHFIELD,"239 RABBIT HOLLOW RD NORTHFIELD, VT 05663 ",10.733333333333333
44.59032,-72.614226,Lamoille,HYDE PARK,"175 DEPOT ST HYDE PARK, VT 05655 ",5.016666666666667
44.539016,-71.989307,Caledonia,LYNDON,"33 STRAWBERRY HL LYNDON, VT 05851 ",5.4
44.734386,-72.583349,Lamoille,EDEN,"119 MOUNTAIN VIEW LN EDEN, VT 05652 ",20.75
45.000579,-72.103189,Orleans,DERBY,"402 MAIN ST DERBY, VT 05830 ",6.416666666666667
44.155584,-72.496223,Washington,BARRE TOWN,"210 HOLDEN RD BARRE TOWN, VT 05654 ",4.183333333333334
44.754147,-72.678228,Lamoille,BELVIDERE,"555 BOG RD BELVIDERE, VT 05442 ",23.4
44.892889,-72.132371,Orleans,DERBY,"3628 SALEM DERBY RD DERBY, VT 05855 ",13.9
44.390226,-72.74045,Washington,WATERBURY,"1383 GREGG HILL RD WATERBURY, VT 05677 ",10.016666666666667
44.484409,-72.674768,Lamoille,STOWE,"1026 LITTLE RIVER FARM RD STOWE, VT 05672 ",11.083333333333334
44.947226,-72.134232,Orleans,DERBY,"29 WEST ST DERBY, VT 05829 ",5.8
44.614684,-72.13837,Caledonia,SHEFFIELD,"811 SHEFFIELD SQUARE RD SHEFFIELD, VT 05866 ",16.1
44.121299,-72.82146,Washington,WARREN,"674 WOODS RD S WARREN, VT 05674 ",14.883333333333333
44.197012,-72.507761,Washington,BARRE CITY,"25 MADISON AVE BARRE CITY, VT 05641 ",4.85
44.456745,-72.015634,Caledonia,SAINT JOHNSBURY,"1698 MEMORIAL DR SAINT JOHNSBURY, VT 05819 ",9.116666666666667
44.537723,-72.160103,Caledonia,WHEELOCK,"1433 STANNARD MOUNTAIN RD WHEELOCK, VT 05851 ",18.25
44.169154,-72.454456,Washington,BARRE TOWN,"274 E COBBLE HILL RD BARRE TOWN, VT 05641 ",9.4
44.957581,-72.112526,Orleans,DERBY,"195 DERBY POND RD DERBY, VT 05829 ",7.95
44.599319,-72.114539,Caledonia,SHEFFIELD,"191 CHESLEY HILL RD SHEFFIELD, VT 05866 ",14.266666666666667
44.558552,-72.594531,Lamoille,MORRISTOWN,"26 OLIVE ST MORRISTOWN, VT 05661 ",1.8833333333333333
44.724503,-72.50694,Lamoille,EDEN,"5347 VT ROUTE 100 EDEN, VT 05653 ",19.05
44.63435,-72.693112,Lamoille,JOHNSON,"105 WESCOM RD JOHNSON, VT 05656 ",12.5
